2022-10-20 09:31:43.933 | WARNING  | __main__:<module>:62 - precision		mean:0.795	std:0.103
2022-10-20 09:31:43.935 | WARNING  | __main__:<module>:64 - recall		mean:0.784	std:0.116
2022-10-20 09:31:43.936 | WARNING  | __main__:<module>:66 - f1		mean:0.787	std:0.103
2022-10-20 09:33:06.191 | INFO     | __main__:<module>:82 - 使用 互信息法 进行特征筛选
2022-10-20 09:33:06.991 | INFO     | __main__:<module>:132 - 使用 SMOTETomek 混合采样
2022-10-20 09:33:07.018 | INFO     | __main__:<module>:138 - 数据平衡前：非DPN组有389条,DPN组有485条
2022-10-20 09:33:07.020 | INFO     | __main__:<module>:139 - 数据平衡后：非DPN组有433条,DPN组有433条
2022-10-20 09:33:07.030 | INFO     | __main__:<module>:142 - 数据平衡前：非DPN组有101条,DPN组有118条
2022-10-20 09:33:07.032 | INFO     | __main__:<module>:143 - 数据平衡后：非DPN组有100条,DPN组有100条
2022-10-20 09:33:07.044 | INFO     | __main__:<module>:182 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': 'gbtree', 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.4405561768499384, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': 'logloss', 'gamma': 1.443976558132305e-07, 'gpu_id': None, 'grow_policy': 'depthwise', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 1.4845002962161227e-06, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 11, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': -1, 'num_parallel_tree': None, 'predictor': None, 'random_state': 43, 'reg_alpha': 1.9137639926457375e-05, 'reg_lambda': 7.146061757987752e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.921682757767577, 'tree_method': 'exact', 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:33:13.039 | WARNING  | __main__:<module>:193 - 0.8	0.75	0.9	0.818
